택시운송업 사업체수,택시운송업 종사자수,한식 일반 음식점업 사업체수,한식 일반 음식점업 종사자수,용달 화물자동차 운송업 사업체수,용달 화물자동차 운송업 종사자수,부동산 중개 및 대리업 사업체수,부동산 중개 및 대리업 종사자수,두발미용업 사업체수,두발미용업 종사자수,커피전문점 사업체수,커피전문점 종사자수,남녀용 겉옷 및 셔츠 도매업 사업체수,남녀용 겉옷 및 셔츠 도매업 종사자수,기타주점업 사업체수,기타주점업 종사자수,일반 교과 학원 사업체수,일반 교과 학원 종사자수,한식 육류요리 전문점 사업체수,한식 육류요리 전문점 종사자수
105,638,16,38,41,41,29,47,18,59,9,19,0,0,4,4,22,79,6,17
856,1086,59,169,143,147,73,107,81,114,24,50,0,0,39,60,55,156,23,65
42,42,127,415,34,34,49,65,27,37,57,178,5,24,35,77,7,18,32,108
35,35,29,85,38,40,81,117,18,38,5,19,1,5,17,27,12,29,7,17
17,17,185,780,20,20,78,141,133,476,134,642,7,11,188,561,11,95,105,458
113,280,80,243,89,89,69,89,65,94,36,116,5,19,44,84,30,118,22,86
1165,1838,1411,4705,770,829,1149,1903,896,2042,1369,4475,96,1209,1011,2559,469,1855,701,2928
37,88,103,396,24,24,76,121,30,67,47,132,12,686,41,107,43,233,45,303
28,28,72,206,25,25,96,173,43,83,57,210,3,17,24,43,39,195,20,65
18,18,34,85,27,27,40,52,27,31,26,84,1,1,14,38,24,127,14,79
47,47,42,98,40,45,58,81,27,30,26,52,5,18,12,22,22,107,11,32
34,34,303,1247,29,29,177,386,247,913,431,1623,27,139,416,1264,36,174,242,1042
46,46,73,235,42,54,70,128,55,129,92,299,8,52,77,167,9,23,47,194
358,358,61,153,58,58,53,68,42,58,75,164,1,26,35,66,13,34,39,122
70,70,52,132,80,87,42,77,56,72,40,103,1,2,19,35,33,124,25,103
36,36,58,176,32,32,48,69,51,68,171,413,4,29,106,220,4,54,24,83
65,184,40,126,49,49,38,47,19,25,39,80,5,9,17,26,21,60,17,53
123,129,50,121,103,103,56,87,46,71,34,90,6,13,17,25,55,173,26,87
89,586,170,594,73,76,66,99,32,56,126,538,5,65,41,107,44,106,58,231
44,44,83,316,36,66,60,141,42,86,41,177,3,42,58,142,20,107,39,176
46,46,72,219,42,42,75,98,71,148,83,274,4,48,70,166,34,115,41,189
87,87,141,420,84,86,114,161,70,108,52,129,10,60,46,103,46,158,39,124
37,37,57,181,26,26,80,115,38,97,29,107,1,2,18,28,26,65,14,45
2735,4942,831,2800,1286,1293,922,1364,838,1428,402,1375,25,52,415,851,1284,5804,281,1111
35,35,116,656,25,27,75,130,65,328,97,470,7,20,44,161,113,1129,42,297
89,89,33,104,66,66,66,102,46,73,24,55,1,1,20,44,28,97,18,68
72,72,40,108,63,63,56,84,60,96,18,76,1,1,31,52,26,69,16,63
75,75,47,149,59,59,50,63,69,94,16,34,3,3,24,39,59,225,26,63
158,252,75,182,116,116,42,49,61,72,15,31,1,2,50,81,18,60,18,39
186,356,23,64,109,109,42,51,26,29,10,18,0,0,11,20,30,118,8,34
123,636,31,57,99,104,11,12,29,29,13,34,1,1,14,21,5,18,13,23
201,742,48,122,91,91,28,46,46,56,13,30,0,0,35,55,29,79,15,46
78,207,47,122,72,72,24,26,30,32,14,32,1,1,12,16,18,61,12,37
883,1016,16,56,40,40,38,55,12,17,3,11,1,7,11,16,2,16,9,25
197,745,46,104,115,115,31,44,44,55,11,21,0,0,18,29,20,51,15,43
23,23,59,168,19,19,66,92,42,60,27,68,0,0,31,62,73,192,19,75
46,46,35,166,39,39,43,80,49,73,23,56,0,0,8,15,103,567,11,53
256,256,34,107,154,154,65,93,51,66,15,51,0,0,18,46,54,160,6,13
26,26,12,79,17,17,47,64,16,25,12,67,0,0,1,4,164,762,1,1
135,135,29,83,65,65,35,52,40,58,13,42,0,0,6,10,85,480,5,13
22,22,42,153,20,20,101,149,44,82,20,85,1,1,11,18,412,1541,4,20
130,209,98,320,117,117,102,172,108,183,58,194,8,15,70,162,45,179,43,198
3735,6922,1325,4584,1799,1862,1311,2352,1015,1751,690,2530,78,700,794,1709,672,2347,581,2274
136,536,67,241,79,101,79,125,49,69,42,125,5,126,28,56,76,239,11,47
77,220,72,274,69,71,65,98,38,82,43,175,6,20,24,46,15,115,30,115
75,218,19,50,61,61,30,54,23,31,22,53,0,0,15,27,15,42,8,32
184,348,78,354,78,78,54,89,46,80,43,187,11,297,25,75,59,265,28,165
136,136,54,136,119,119,55,101,48,70,23,70,2,3,43,74,29,119,27,99
71,71,19,42,82,82,27,41,33,37,10,16,0,0,11,16,31,65,7,11
71,71,45,150,60,60,44,79,63,102,25,63,2,4,36,92,53,169,30,120
93,93,56,135,94,94,36,54,62,88,22,62,0,0,37,53,13,45,31,91
80,678,102,312,78,101,53,86,40,66,27,74,2,2,109,326,14,44,35,148
99,99,52,160,87,87,69,103,59,85,17,65,1,1,27,44,17,66,23,72
131,423,235,898,77,85,230,569,86,243,154,643,22,87,114,327,16,30,134,655
40,40,19,58,44,44,18,34,17,44,5,18,2,3,5,7,0,0,8,23
113,113,15,44,69,69,12,18,16,34,8,31,4,37,1,1,7,17,0,0
174,810,85,305,133,133,109,221,56,114,57,260,9,70,21,42,104,342,17,55
100,336,73,253,95,100,57,88,45,59,28,112,1,2,56,101,15,44,46,152
262,262,77,244,148,148,91,127,92,158,38,124,3,10,32,63,66,310,37,111
1358,1607,80,304,90,90,53,79,48,78,36,158,3,7,53,77,12,30,22,91
182,508,20,61,75,75,27,46,30,41,16,40,1,3,8,16,8,16,12,37
213,213,114,408,172,175,118,211,88,138,47,169,3,26,128,234,22,68,58,198
140,140,43,155,89,89,84,129,76,132,27,85,1,2,21,32,100,321,17,52
2757,3817,1048,3215,1318,1351,789,1213,729,1134,421,1384,114,923,576,1165,336,1111,428,1496
73,73,80,339,74,77,62,112,46,112,36,196,2,34,12,45,53,222,26,121
86,86,16,44,63,66,27,51,19,47,6,26,1,8,14,29,19,64,4,11
55,55,186,834,50,50,128,253,56,143,109,457,65,781,69,251,15,42,69,332
56,56,75,163,75,77,66,92,69,85,18,40,2,2,90,150,22,68,40,138
1238,1451,115,296,62,65,84,109,41,81,45,141,7,10,56,128,25,52,66,235
123,282,68,242,82,82,27,38,41,59,26,77,3,6,29,52,19,56,33,115
133,133,49,138,91,91,44,61,55,63,18,34,2,3,26,46,32,115,15,39
163,163,28,81,100,100,46,73,56,96,23,53,1,6,29,63,42,158,15,48
100,100,29,61,103,103,36,52,47,52,19,29,1,2,22,33,27,77,16,35
89,89,53,133,60,60,33,50,38,54,11,50,3,3,29,59,9,36,9,26
220,456,43,115,173,173,48,66,48,78,23,59,2,2,10,20,34,128,24,99
144,455,36,73,114,121,32,46,30,35,20,30,4,12,12,20,11,44,17,49
24,24,47,87,38,38,22,31,35,43,3,9,0,0,53,75,1,1,16,41
114,114,159,455,105,120,86,121,79,98,37,106,17,48,83,123,8,13,42,106
139,280,64,154,128,128,48,58,69,88,27,77,4,6,42,71,19,35,36,101
1100,2598,867,2619,935,997,671,1381,488,715,383,1215,200,2575,391,685,153,487,300,1042
71,71,300,1186,82,102,271,736,51,130,220,791,150,2415,71,155,4,18,100,375
179,1248,136,386,128,146,89,186,64,121,41,110,25,107,55,98,20,67,32,175
107,226,48,126,73,73,29,45,52,57,14,19,2,9,25,43,10,34,21,58
95,180,84,184,124,131,65,102,74,91,21,52,2,6,56,75,8,39,24,60
59,59,40,91,56,58,28,39,36,44,14,35,1,1,43,81,7,16,28,81
137,137,135,387,122,122,86,125,87,137,39,127,9,21,82,137,46,147,65,209
131,131,4,8,93,93,23,39,19,21,9,21,2,2,4,9,28,89,1,2
